student_utterance,previous_5_utterances,subsequent_5_utterances,filename,student_tag
"No, that gives you.","[S] The top number is five factorial, that's the total number of possibilities for, for five, for five people.
[S] One twenty.
[S] And then the five minus two comes, comes in where you're not worried about everyone, you're just worried about two people at a time.
[S] So we need to subtract the five minus two. 
[S] Those get, that gives you and you do factorial, that gives you all the possibilities of just two people, right?","[S] Three people.
[S] No, three extras.
[S] The three that you don't, you're not worried about.
[S] That's going to eliminate everyone except the two people you're worried about. 
[S] OK. ",Video Mosiac 11th grade Pascal 1.xlsx,2 - Relating to Another Student
No.,"[T] You all agree with that?
[S] Actually, I used this to um, to tell that the light green is one white  bigger.
[T] Ok, and the number name you are giving to the white you’re saying  is one,
[S] Yeah.
[T] you called the green one and your calling the white one?","[T] That’s what I thought I heard you say. [asking the class] You hear  my question? Is everybody hearing my question. You said you called  the light green one, you said you called the red one third, and you  said you called the light green one half. Right? And now the white  one, right… [puts the white and red together next to the  light green]  The white one which tells you how much bigger it is, you said  you’re calling it one. So your calling this one and this one [pointing  to the white and dark green].
[S] [from his seat] I think I know what they mean.
[T] Erik, what do they mean I’m so confused.
[S] [walks to the overhead] I think they mean that they want to call this,  the dark green one, one whole, and they want to call this, yeah, like  you line all the whites up to it which I think should be six and they  want to call it one sixth. I think that’s what they’re trying to say but  they just, they’re just not saying it. I think they just, they want to  call it one sixth.
[T] I don’t see six of them up there.",Comparing Fractions 4_Grade 4.xlsx,1 - None
You could divide it into zillionths and there would still be space in there.,"[T] Alan.
[S] Make sense.
[S] You can divide that line into the smallest of fractions. You could divide it into zillionths.
[S] Yeah.
[T] Did you hear what Alan said? Erik, did you hear what Alan said? You want to say that  one more time, Alan?","[S] If you had the longest number line in the world.
[S] If you divide it into zillionths depending on what number you want to hold it to.
[T] No. no. Michael, I'm talking about this little piece between zero and one.
[S] Yeah, but you could still divide it ….
[S] But if you made a number line to show zillionths, then you would have to have the longest  number line in the world.",Video Mosaic Grade 4 Infinite Number Line 3.xlsx,4 - Making a Claim
No.,"[T] By the way, do I really have four numbers positive?
[S] You have four numbers negative. You have five numbers positive … zero, one,  two, three, and four.
[T] Is that what we have on the number line? Numbers up to four?
[S] This can't be one half.
[T] Okay. Let me ask all of you a question. Does that number line end at four?","[T] Does it end at five?
[S] No.
[T] Where does it end?
[S] Nowhere. It keeps on going. Infinity.
[T] Where does it end on the other side?",Number line models 4_Grade 4.xlsx,1 - None
"The reason why, 0, 1, 2, 3 is that number is always going to be that number. ","[S] It’s the same thing.
[S] That does.
[S] You could do that. 
[S] It’s a lot of.
[T] OK, so you’ve written out three rows and then you wrote out the nth row.","[S] It’s not, it’s never going to change.
[T] OK. 
[T] I’ll buy that. 
[T] But something in here could be an n choose r. 
[T] Right? ",Video Mosiac 11th grade Pascal 1.xlsx,5 - Providing Evidence/Explaining Reasoning
"Yeah, but Erik said, Erik wants the half. …'cause I figured that out, too.","[S] All right. You see  usually, um, they are only one, with the  shorter one, only one block apart. Like that  and so these, but then if you have for the  blues, like if you have two yellows, it would  be too tall and if you have two purples 
[T] Do you need another purple? Here
[S] That'd be too short and then there's really  nothing in between ‘cause if you do  And then here there's nothing  in between, right here, so there's no way  that you can do that.
[T] Jessica? Are you all convinced? Jessica has a  question for you, David.
[S] But if you put three greens to it you could","[S] I think you could do it, but they're…  See, I  figure if you take a yellow and a purple it's  equal They're  not exactly the same, but they're both  halves. Because the purple would be half of  this even though the yellow is bigger  because if you put the purple on the bottom  and the yellow on top it's equal, so they're  both halves, but only one's bigger than the  other. So it equals up to the same thing.
[T] Did you all hear what Erik said? Erik, do  you want to say that one more time? How  many heard what Erik said? How many  would like to hear it a second time? Ok, Erik, would you say that one more time to David and the rest of us?
[S] If this would be one whole,  you could take the yellow to be and you  could call it one half  But if you took another  yellow it would be too big. But if you took a  purple with the yellow, and put it on top of  yellow, it equaled to the blue. So, the purple  would be a half and the yellow would be a  half, except that the yellow would just be  one bigger than the other. Or maybe you  could call this three quarters and you could call this one  quarter. And, but it  would still equal up to the whole.
[T] What do you think, David?
[S] I didn't think of that. Like that. Cause I was  thinking that, um, that you would need the  same.",What is one half 1_Grade 4.xlsx,2 - Relating to Another Student
I get it.,"[S] That x.
[S] -and, and five choose x, say and there was.
[S] That’s what.  Since you- Mm hm.
[S] And this was.
[S] I get it.","[S] I get it.
[S] I get it.
[S] I, I got it now.
[S] Like that.
[S] All right, then the last number would be.",Video Mosiac 11th grade Pascal 1.xlsx,1 - None
Yeah.,"[S] Uh-huh.
[S] That’s what these two are going to come into?
[S] Mm hm.
[S] Right?
[S] Yeah.","[S] And that’s cause.
[T] Can you write it, can you write it as an equation? 
[T] Just like you wrote three plus three equals six.
[S] Um, that would.
[S] N plus, just that plus that.",Video Mosiac 11th grade Pascal 1.xlsx,2 - Relating to Another Student
"I'm totally confused,how you went back to the oneinstead of doing","[S] When you multiply the ones to the five, instead of using 30 to the five, could you also multiply  use the five on the bottom
[T] No because this is our proportion. We have to keep these numbers. This is one number that we have and we can't be mixing the two of them because we want them to stay proportionate. Whatever we're doing on the top here with these numbers are going to stay on the top and we're going to multiply and divide with those. These are going to stay separate, but they are going to stay proportionate to each other.
[T] Yes. Will you put the magnet in too?
[S] Yes.
[T] Thank you. It's always going to be Rose. It will always be a 1:5 ratio. Yes.","[T] I'm trying to get to 172. What I said is, I've add 150. I only need a little bit more to get to 172. I need exactly 22 more. Other people probably have this question.
[S] Yes.
[T] I'm going to say if I do 25 which I can get from multiplying this five, that's going to get me close. Yes Luna.
[S] You went back to the one, why did you  in the first place?
[T] It gets me pretty close. I multiplied by 30 which is a great number to start with. That gets me pretty close to where I need to be. Then I'm going to have just add a little bit more to it. Now what I'm going to do is add together my 2 columns. I'm going to right here, I'm going to say plus column two which is 35. We're going to add plus column two which means I add 50 and 125. I'm at 175. This means that in order to get all of my students, I'm going to need 35 chaperones. If I go down, let's just say, I'm like, ""That's too many."" I only have 172 students. I'm going to subtract column one which would be one adult. That means that I need to subtract five students because column one is one adult for five students. That would be 170. 34 chaperones is not enough. That's why I had to go up to 35. Yes?",TalkBack.Year1.Davies.Fall.120519.xlsx,3 - Asking for More Information
"For me, I felt that 4 was represented without any of this, before I did this, I felt that 4 best fit, because I looked, there's stuff a lot higher than 4, and there's stuff a lot lower than 4. So, I'm going to say around 4, and then it turned out to be the mean, so I trust that.","[S] What?
[S] There's both median or mean.
[T] Say that again, I missed what you said.
[S] Zoe is saying that mode is typical, but I'm saying that any of these could be typical.
[T] Yes, any of them, but you have to look at them and decide, which one of these do I feel like best represents my data.","[T] You trust that? Good job with this one.
[S] There's not a 4 on anywhere on the data but it doesn't have to be on the data to have to be a mean.
[S] What happens if there's a gap?
[T] There shouldn't be a gap.
[S] But then how do you connect it? Aren't they supposed to stay connected?",TalkBack.Year1.Davies.Fall.101019.xlsx,5 - Providing Evidence/Explaining Reasoning
I don't understand this.,"[S] Huh?
[T] It's not good if it's the middle point. It's not a triangle. This.
[S] [Laughter]
[S] Like this, like this.
[T] Huh?","[T] You drew it like this?
[S] It's not a triangle.
[T] This becomes straight and-
[T] Oh.
[S] That's wrong. That's wrong. That's wrong.",Math JP2 transcript.xlsx,3 - Asking for More Information
"Well, it's two. And two is doubled one, so then I doubled two.","[T] How many is five? Okay. Alex, walk us through it. How did you come up with your numbers? What did you do?
[S] Well, the first pint, I drew
[T] Okay, so you used this guy? Perfect.
[S] And then I doubled that two.
[T] What do you mean you doubled it?","[T] You're 100% correct. Mathematically speaking, what do you do mathematically to double something?
[S] Add that number to itself.
[T] You're 100% right. What's another way we say that in math?
[S] Multiply it.
[T] Beautiful. So Alex is saying that she saw that our numbers here were doubling, meaning it was adding to itself or multiplying by two on the left side. So she's saying that all we have to do is to multiply by two to get our number on the right side. So Alex, what was your next cup? How many?",TalkBack.Year2.Parker.Spring.041920.xlsx,5 - Providing Evidence/Explaining Reasoning
You have eight left over.,"[S] Hm.
[S] Well if you take like on the.
[S] Well because.
[S] You know how on Pascal's Triangle.
[S] That's like the two.","[S] Oh, cause you could switch them all around.
[S] Is that, is that, I guess you're counting. 
[S] You got, you got, yeah.
[T] I don't know.
[T] Tell me.",Video Mosiac 11th grade Pascal 1.xlsx,2 - Relating to Another Student
"we did former X is equal to 16 over 100, then we did 16 = X which is 16X and then 4 x 100 which is 400. Then we divide both of them with 15 and got 25, then after that","[T] Right, 100% is all the kids at school. If 15% were late, that means the rest of them are on time. That's 85%. You could have done it like this. You could have said X/120 = 85/100. When you did that, you'd get a 100X = 10,200 and then you divide by 100, you get that X = 102. You could have done it that way as well. You could've figured out the percentage the opposite way and then figured out your proportion, either way works thinking about that. You're done? All right.
[S] In a parking lot, 16% of the cars are blue. There are four blue cars in the parking lot. How many cars in the parking lot are not blue? You've got this problem. No. This is the total cars. Yes.
[S] Twenty cars are not blue.
[S] Number 15 Burger King  lettuce. The last thing you'd expect on your Burger King burger is somebody else's foot fungus.
[S] I got 25. What is the number of cars that are not blue? That's what it's asking. Andrew, what did you do?","[T] Okay. Freeze. What does 25 represent, Andrew?
[S] It represents how many cars there are.
[T] The total number of cars in the parking lot. We know there's 25 in there. Then what would you have to do?
[S] You'd have to subtract four and then get 21.
[T] So, the total number of cars minus the four blue ones equals the rest of the cars that are not blue. So, you could have answered how many cars are in the parking lot? Twenty-five. We know four blue. We know 21 are not blue. We don't know how many are red or anything, right? All right. A little parking lot.",TalkBack.Year1.Barry.Spring.011420-1.xlsx,5 - Providing Evidence/Explaining Reasoning
"Hm, what?","[S] (inaudible)
[T] M-hm, yes.
[S] Do you have to indicate the factorizing at the rear?
[T] No, that's a transformation, the two terms are absolutely equal.
[S] Minus in brackets.","[S] Minus in brackets. (inaudible)
[T] Corine, I will correct it for you by tomorrow, all right? I don't have it yet.
[S] M-hm, yes.
[T] Do it in your notebook, Shane, so that you're able to make a clean entry of the solution here afterwards.
[T] Yes and now- now you have to think about it... what does it mean... that is zero. Under what circumstances can-",Math SW1 transcript.xlsx,3 - Asking for More Information
"Three or thirty. Right, okay. Now, what is five times three. Nate? I'm sorry?","[T] Janet, hun, you need to pick up the pace, come on. There's no reason you shouldn't be through.
[T] Okay, so I've got some answers that are a little different. So here's what we're going to do. And I'm going to get to use my smartboard. That's not what I wanted. Let me see. So...process. Work with me, Nate! Okay? What is five times seven?
[T] Thirty five.
[T] Okay, so I'm going to write my five. What am I going to carry over?
[S] The three","[T] Fifteen.
[S] Fifteen. And what is fifteen plus three? Eighteen. Okay. Now, I am moving over to my tens value, right? So what needs to go under my five? A zero, because I'm no longer in the value of the ones. I've now moved to the tens.
[T] Nate, what is two, or twenty, times seven?
[T] One hundred forty
[T] One hundred forty. I'm going to carry my what?",TalkBack.Year2.Strathom.Fall.103020.xlsx,4 - Making a Claim
How high are we supposed to go?,"[T] You were saying Andrew?
[S] It would be like something you really cannot see. Actually you would need something like a stop watch  to figure it out. It does not matter what size it is,  because you will still have to have one half and a one  third would still take up as much room as anything  else, so.
[S] I wonder where one one-thousandth would go? Oh,  I know where one one-thousandths would go; that's  easy. I think it would be one, one-hundredth, one  one-thousandenths and one one-tenthousandths.
[T] Okay 
[S] Dr. Maher I think I have one-one hundredth, one  one-thousandth  and one one umm ten thousandth  or Then, you could do, one one-hundred- thousandenths and one one-millionths.","[S] I went to one one-hundredth.
[S] Up to, one one-hundredth.
[S] Fifty should; be here on the one hundredth so  its like.. 
[S] One one Hundreds
[S] one one-thousandth would be at the  window.",Number lines 2_grade 4.xlsx,3 - Asking for More Information
"Oh, fourteen. Is that what you think? What do you think?","[T] Okay. What about you two, Steven and what's your name?
[S] ? What do you think?
[S] Less.
[T] You think it's going to be less? If you had to guess, what  would you guess? How many do you think you'll have?
[S] 7 Fourteen.","[S] About twenty.
[T] Okay, now, who did I not get? I didn't get this group over  here all together. Hello, what's your name.
[S] Michelle.
[T] And your name is?
[S] Erin.",Towers 3_Grade 4.xlsx,2 - Relating to Another Student
Yeah,"[T] And how did I- how did you break that one into thirds?
[S] I went down.
[T] Down. Like this?
[S] Yeah. And then I colored two more in.
[T] Okay. Like this?","[T] Okay
[S] And then I had four double shades, so it'd be four down.
[T] Okay. So, 1, 2, 3, 4, 5, 6, 7, 8, 9... I have nine boxes right? These four boxes here are-
[S] Are double shaded.
[T] Double shaded. So, what is my answer?",TalkBack.Year2.Strathom.Spring.040621.xlsx,1 - None
No it wouldn't this one still has some room. I think.,"[S] Well, before Meredith built this other thing and then she had the reds  were one twelfth and then the whites were one twenty-fourth, but  then
[S] We built that, me and alan built that and then they did it, and then
[S] Meredith did too, but then, uh, so then, uh, she thought to think of a  bigger model, then I thought that then maybe the greens would be  something like one twelfth, but then we figured out that would be  sixteenths, then I put them up there
[T] Alright
[S] And","[S] No, it's just that this Well um, and then I thought the  reds would be one twenty-fourth and the whites might be one forty- eighth. Cuz I just doubled it.
[T] Did it work out? Did it work out?
[S] What?
[T] Did it work out? I mean, did you, did you find what you thought you  would find?
[S] Well, not really, because this one was one sixteenth, um, one  sixteenth.",Video Mosaic Grade 4 Building large models 4.xlsx,2 - Relating to Another Student
But after th- that I'm having problems.,"[T] Yes.
[S] I got it.
[S] Well.
[T] Because (inaudible).
[T] Yes. You've gotten up to a good place in the problem.","[T] Yes. Then okay?
[S] Yes.
[T] If this corner- for example it's good if the corner here was gone, right?
[T] I'll draw a line longer here, okay? Ones that are same as the area of this.
[T] Things like these dr- are also the same, right? Things like these are also the same, right? There's a lot, right?",Math JP2 transcript.xlsx,3 - Asking for More Information
I have a question.,"[T] Sure.
[S] When it's nine divided by 1/4, do you have to do all the work times four, or can you just do nine times the denominator?
[T] Well, you're just going to do the work that you would do to get a common denominator there. That's your goal, is to get a common denominator. Does that make sense?
[S] Yeah.
[T] Okay. All right, crew.","[T] Sure. What's up?
[S] Can we use a number line, too, to find this out or do we have to ...
[T] Absolutely. Absolutely.
[S] Okay.
[T] Whatever. You can use a number line. You can use a tape diagram. You can use shapes. Whatever kind of model you would like to do is awesome. Okay.",TalkBack.Year2.Davies.Spring.031021-2.xlsx,3 - Asking for More Information
"We thought that we did not have to put anything else on the number line, because  if we put this from zero to 1 and you would mark one third here because if you  used a ruler here to measure it or something  one third would go here,  two thirds would go here,  three thirds would go here,because the length will be the same as Cuisenaire rods  or something.","[S] There is no fraction value between zero and one third, because…
[S] If you have no value between zero and one third, then look, you   eliminate that how many spaces would you have? Two.
[S] What I would think would be that if you start on the lower number  and then keep going up and until you hit that. Anything between there would be the one third and the two thirds right   there. And, if you keep going up to there you will hit that and,   that will be two thirds   and if you put a bar right there it would count as one,   two thirds between 1 would be three thirds. Because, like I was saying, if you started there at zero,    then zero does not have value …
[T] Okay. We need to sit down. Obviously, we have not convinced Bryan. Alan and Meredith have tried and not convinced Bryan.
[T] I wanted to give Sarah and Beth  and Audra a chance to share their idea and if everyone listen a bit more, we  will  see what we are thinking in a few minutes.","[T] What I am not clear about when I am looking up there, I am not sure, you wrote a  number on top, and I thought we all agreed that we would write our number line  with the numbers in the bottom. Where would you place the three-thirds?
[S] We would place it here 
[T] Could you write it underneath the number line and tell us why you would place it  there. Because, I think some of us are interested in where you would place it. [Groups workstogether on placing the three thirds on the bottom of the line.] And, you are telling me you would place it with 1 to the right of three-thirds? [No verbal response from group.] So this clearly defines where we have  differences of opinions, right? Is that true? So, how many of you are agreeing  that we should place 1 to the right of three thirds? How many of you believe  that?
[T] Oh. How many of you believe that it should go to the left of three-thirds?
[T] How many of you believe it should go right on top of the one?",Number line models 3_Grade 4.xlsx,5 - Providing Evidence/Explaining Reasoning
(inaudible) fifteen. It's 30 degrees.,"[T] Are there any groups that were able to solve them?
[S] Plus 15.
[S] (inaudible) since it's 15 degrees, so 90. Ooh.
[T] Not so (inaudible).
[T] Oh- the rice cracker hard problem seems to be solved.","[S] Teacher. Fifteen.
[S] Fifteen, 15, 30, 90, 90.
[S] It's not 90, 90. Ooh.
[S] Ninety-nine?
[S] One hundred.",Math JP1 transcript.xlsx,2 - Relating to Another Student
329,"[S] 323
[T] 300 plus 20 plus three, three, three. Right? Three plus three plus three is?
[S] Nine.
[T] And zero plus two is?
[S] Two.","[T] Piece of cake.
[T] James.
[S] To be really precise, to get to that exact goal. In exactly 13 days, you burn  329 and seven thirteenths.
[T] And seven thirteenths, right.
[S] Or you can just burn 330.",TalkBack.Year2.Smith.Spring.042121.xlsx,2 - Relating to Another Student
"Um, we were looking a lot at, at working at e and, and the equation for it.","[S] We were kind of, uh
[S] Are we going to [Inaudible.]?
[S] But um, what was the question? 
[S] What were you
[S] We wanted to know what we did in class today.","[S] And how it, how it, how it connects with ln and.
[S] Yeah, um.
[S] And we were also trying to find like, you know how we had when we had a plus b to the n?
[S] We want to know what- And we had like numbers before it when we got to big numbers, we want to know, you figure out what the numbers were, like in front of the a, you know, cubed.
[S] You know, that's, that's like, um.",Video Mosiac 11th grade Pascal 1.xlsx,2 - Relating to Another Student
Six.,"[T] Okay.
[S] However, it's a I'm not going to spoil it right now
[T] Don't spoil it.
[S] See if you can find it.
[T] What is our numerator? I mean, our shaded in piece that is shaded in dark. Our shaded in piece that's shaded in dark. What have we shaded in dark? Ben?","[T] All of the squares that you see in this whole one by one unit.
[T] All of the squares you see. Hadley?
[S] 24
[T] Three times two.
[S] Six.",TalkBack.Year2.Koski.Spring.040621-2.xlsx,4 - Making a Claim
Because  picture drawing to show . You're not explaining enough,"[S] Oh, number four? We just
[S] Do you always just do that, though?
[S] This one right here, you're not explaining it. You're looking at a picture or adding onto -
[S] They're just telling us to do that.
[S] Oh.","[S] Oh. Well, that's fine.
[S] I thought you basically say what was the
[S] Yeah, so-
[S] I say  can split the casserole into 12
[S] Yeah,",TalkBack.Year2.Strathom.Spring.040921.xlsx,2 - Relating to Another Student
No. Yes.,"[S] Because that just helps you understand that you didn't have that sign for it.
[T] Sure, yes. What about this? Where is negative theta?
[S] Eight.
[T] That's .8 as well, right? Is the negative of that .8's tangent the same as .1's tangent?
[S] Yes.","[S] Because they can't-- doesn't it typically cancel out .
[T] Well, you can't distribute that negative in there, so watch the analysis here.
[S] No, but if you take it, it .
[S] Think of it like negative discovery three over three.
[T] Okay, watch. Look just throw some numbers on here. If this is 1/5, it can't be that on a unit circle, but if that was 1/5, this would be -1/5, right? Would those give you the same fraction, except this one's positive and this one's negative?",TalkBack.Year1.Wolfram.Spring.030920.xlsx,2 - Relating to Another Student
Why did she put 2/3 in the boxes?,"[T] The remainder is the fraction.
[S] That is .
[T] 5 and 2/3. I see on Eileen's tape diagram, she also wrote in these boxes 5 and 2/3.
[S] Nice, we go to lunch in 15 minutes-- exactly 15 minutes.
[T] What questions do you have about Eileen's tape diagram?","[T] Chris wants to know why Eileen put 2/3 in the boxes. Who can answer that?
[S] Not me.
[T] Paula, why'd she put 2/3 in the boxes?
[S] Eileen put in 2/3 into the boxes, because  the remainder and , and Mr. Calis used 1/3 to make a quilt. The denominator is 1/3.
[T] What Eileen did, it sounds like Paula explained, is that she took the extra two that was left over and split it between the three boxes, 2/3. How much fabric did Mr. Calis use in his quilt, Angela?",TalkBack.Year1.Rossi.Spring.012720.xlsx,3 - Asking for More Information
Y= 19- 2X,"[S] Three, two, one. Switch. Okay, three, two, one, switch. I am so good, you have no idea.
[T] Accurate, three, two, one, switch.
[S] Did you see that?
[T] Take a seat SS, please.
[T] Okay, people. Micha and Usher, if we can not focus today, then you are going to make up the time that you spend unfocusing here tomorrow. That's my last warning for you today. Thank you. Melvin, can you tell us that equation one more time?","[T] Okay. Anybody write this equation in a different way? Otis?
[S] Y= -2X + 19
[T] Okay great. Neil, are we doing okay?
[S] Yes?
[T] Are we doing okay?",TalkBack.Year1.Gautier.Fall.121219.xlsx,4 - Making a Claim
How?,"[T] To find the area? So then, you just proved that this is what?
[S] 22
[T] And that's the..
[S] Perimeter.
[T] The perimeter? Can you show me the perimeter on that? Show me the perimeter on your rectangle.","[T] I don't know. How can you prove it? ‘Cause you proved your area for me. Do you know how to prove the perimeter? What did we do with the first picture?
[S] We colored the outside?
[T] Sure. So could you show me the perimeter?
[S] Like this?
[T] Yeah! Perfect! Great! I just wanted to make sure. Wonderful! Good job. Good job! Make sure you share. And make sure with your partner, too.",Problem 1 part b.xlsx,3 - Asking for More Information
"No, no no no no. I have an idea. No. No, give  me a pencil. Look, this is one. One is equal to  six sixths. Does it have to be division? Does it  have to be a division problem?","[T] Yeah. Yeah. I see two people with their  hands up but I'd like everybody to think  about that maybe a little bit. Maybe write it  in words here. How could we rewrite this as  a math sentence, as a number sentence?
[S] One divided by one sixth equals  six
[S] ] One  whole minus six sixths is zero. One whole
[S] One whole minus-
[S] five sixths equals one sixth.","[S] One divided by six is not six sixths
[S] I didn't say it was.
[S] One divided by, I  think if you're doing a division problem, you  could do one divided by one sixth equal six,  because it was like what we did when our  parents were here, we did one divided by  one eighth equals eight, so it was like well,  what, how many eighths are in one?
[T] Ok, so that's like the question we were  asking here. Do you agree with that, Danielle?
[S] Uh, yeah but I, so it's like every number, it's  that, it's one divided by the fraT2ion and then  just the plain number?",Video Mosaic Grade 4 Division of Fractions 2.xlsx,2 - Relating to Another Student
"I counted once we get to the shoe store, it's seven.","[T] Mm-hmm . Explain?
[S] If we go from the library to the shoe store, I got six, and then we got three more that we go up, so I have nine that way. Then we go up, and go up 10 more, and I got 19. Then I did 19 plus five to the ice cream truck, and I got 24.
[T] Okay. 24 Miles?
[S] I think it's 22.
[T] Okay.","[T] Mm-hmm
[S] Once we get to the gas station, we have about 10. To the pizzeria, we have about 15, and then once we finally are at 15 and we count the rest of the squares, I say, you get 22.
[T] You say it's 22.
[S] I respectfully disagree with you, Miles. I disagree with you.
[T] It is 22. One, two, three, four, five, six, seven, eight, nine, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22. 22 blocks.",TalkBack.Year2.Koski.Spring.022321.xlsx,4 - Making a Claim
The problem says to circle the two numbers who...,"[S] 1/40
[T] 
It's 1/20 away. So we have 1/24 away or 1/40 away. Which one's closer? 1/24 away versus 1/40 away, because 20/40 would be half. And Julia what do you think? Which one's going to be closer to one half? Are you there Julia?
[S] Yeah sorry, I think... 19/40 is going to be closer to one half.
[T] Yeah because a 40th is smaller so let's change our answer and let's say 1/10 and 1/6, oh no sorry 1/10 and 3/8. I apologize. That's the closest we can get to one half. Alright.
[T] Yeah what are you thinking Hunter?","[T] Did we circle the two numbers who's sum is closest to one half without equaling one half?
[S] Yes.
[T] All right we are going to stop there for now. I want you guys to open up, I think it's page 58. What I do know is that it says ""Fraction, addition and subtraction."" So look for page 58. Was I right?
[S] Yeah.
[T] Oh good I love it when that happens. I'm not always correct, but I like it when I am.",TalkBack.Year2.Davies.Spring.022621.xlsx,4 - Making a Claim
"Because you're raising it to two, um. ","[S] So you're going to take a number so that would be, that would be three and the same reason the three's up there, it's coming down here.
[S] Minus, minus the x.
[S] Minus.
[S] Then it'll give you one.
[S] Wait, the reason you subtract, that's why you're raising the, how come the x is there? ","[S] That's it. 
[S] Right?
[S] Right.
[S] That's why it's there.
[S] And then",Video Mosiac 11th grade Pascal 1.xlsx,2 - Relating to Another Student
"Because up here, I knew that this was ten, and two tens would be  twenty, and I knew that that would work, so it takes two of those to  complete it using a double ten. So one of those [red rods] filled in  the gap. Probably if you used another one [takes a third orange and  gestures to show that a fourth orange rod would be placed along  with the first three] another two, you could fill in that with more  purples and using more reds, too.","[T] A working model here? Tell me about that one.
[S] Ok, the two oranges make the whole.
[T] So we're calling this, the two oranges together one. Ok.
[S] And these, the five purples are the fifths, and the two oranges again  are just the halves, now down here, the reds are the tenths. And  again if you remove that [two purples and an orange] it would take  one of those [red] to fill in the gap, so it's bigger by, one half is  bigger than two fifths by one tenth.
[T] Can I ask you a question now? Why did you choose the two  oranges to be one? You seemed to come up with that pretty  quickly.","[T] Interesting!
[S] And it could make more.
[T] Ok, so you did ten, you called it ten and twenty because of the little  white ones. That's an interesting theory, could you kind of test that  one out for me and, see, see if you could build a bigger model?
[S] I'm trying to build a bigger model.
[T] If you need more stuff, I've got more rods",Video Mosaic Grade 4 Models to Compare Fractions 2.xlsx,5 - Providing Evidence/Explaining Reasoning
In the what?,"[T] How did you know it was 90?
[S] Because nine is in the tens place, and the tenths place is after the decimal and the tens is before the decimal.
[T] Excellent. We're just going to do one more to get our brains ready for today. Thank you, Georgia. All right, my friends, erase your board. This one starts with a six in the?
[S] Hundredths.
[T] Hundredths. Think about where that hundredths place is and one-third of that number. You have to think about what is one-third of six.","[T] In the hundredths. We know this is getting a little more challenging, I'm going to give you a minute to think. Good math students write down what they know. Think about what do you know in this problem, what parts do you know. Could you start by writing out decimal places? Like we know we have hundreds so we know we're going to have at least three places before the decimal. Then we know we go to the hundredths, so we know that you have at least how many places to the right of the decimal?
[S] Two.
[T] Please show me your whiteboards. Three, two, one and show. Excellent. Franc, would you share your thinking with the class, please? Franc, hold your board up so they can see. Okay, if you could turn your eyes and ears this way, please.
[S] First,  and after the decimal, and one-third of that will be two and that's in the hundredths place, so it'll be 200, and then the decimal, and then the six-hundredths, so there'll be a zero before the six.
[T] Because we have nothing in the tenths place and the zero holds the place, right?",TalkBack.Year1.Strathom.Fall.121219.xlsx,3 - Asking for More Information
"For our rule, you said we should have done ending coordinates. How would we find that? Oh!","[T] So their whole book is off, isn't it?
[S] Yeah.
[T] They did not follow their rule. So they're going to need to redo to follow their rule. Do you see what I'm saying?
[S] Yeah.
[T] All right. Okay! So, your job today is to make sure you are responding the way you should be responding, using length and width, height and width, exact ending coordinates, and you are rewriting it in a different color. Yes, ma'am?","[T] Well, at the very end...
[S] It would be 24 and 30.
[T] What is...
[S] Because we did...
[T] ... your height coordinate? What is your width coordinate? It's the end. What are the highest marks on the book? Tallest and width. Okay? You are doing this part independently. This part is independent. You are using a different colored pencil so that I can see your revision. When you are done, you are to bring me your work.",TalkBack.Year2.Strathom.Spring.030421.xlsx,3 - Asking for More Information
Then you do it,"[S] Ok [sighs]
[S] I don't think we need sixths.
[S] So it sounds like Amy is answering a different question. I  think I hear the que- I hear what Amy is saying because I  heard her say it earlier. Amy is saying there are other ways  you can uh make trains, right? That have length [Amy nods]  of two orange and one purple. And I know that this table  spent a lot of time doing that, of course what Erik and Alan  and James are saying that's true, but it really isn't necessary  or related to solving this problem. Do you agree with that,  Amy? [Amy nods and says mmm hmmm] But that's an  interesting thought that there is another way and when you  think about all those purples there, what number name  would you give to a purple then? One sixth.
[T] So I think that Amy is saying look! On this same train I  could show one sixth! Which almost suggests I could ask  you another problem.
[S] Which is if you asked another, Which is Which is if you  asked a question with a sixth, then you","[S] Then you could do it.
[T] Yeah, but I could ask you a question which is bigger a sixth  or three quarters. Don't do that now!
[S] Then, then you do a sixth!
[T] Don't do that now, but I could ask you that question,  couldn't I, which is bigger a sixth or three quarter?
[S] Yeah.",Maher_Equivalence 2_Grade 4.xlsx,2 - Relating to Another Student
Addition.,"[T] Subtraction.
[S] The answer to a subtraction problem.
[T] Answer to a subtraction problem. What does sums means? Arden.
[S] Add.
[T] Answer to a?","[T] You're right. You're right on. Explain your representation. Now, what is a representation? What does it mean to represent? What does it mean to represent Asher?
[S] I'm not sure but to show something or maybe-
[T] To show something?
[S] Or maybe a way. A different way.
[T] In a different way. Ezra.",TalkBack.Year1.Koski.Fall.121119-1.xlsx,4 - Making a Claim
