previous_context,student_utterance,turn,subsequent_context,Offering Math Help,Successful Uptake
"(258) [T] Notice that our problem used it.
(258) [T] Dorsey had how many meters of yarn and what did she break them into?
(258) [T] Think about how you should write that.
(258) [T] Each of you write your own.
(258) [T] Let me out too real quick sorry Frank.
(258) [T] You don't get it yet, so I cannot let you go with your partners yet.
(259) [S] For picture, we'll draw five circles split them on the boards.",It's 20 for us.,260,"(261) [S] Because you're five pulled--
(262) [T] Okay, Roberto had five--
(263) [S] 20
(264) [S] He split--
(265) [T] I don't understand.
(265) [T] Sorry.
(265) [T] I'm sorry",1,1
"(36) [T] A lot of what I heard people saying was things like, ""I know it but I just can't put it into words.""
(36) [T] Try to put it into words.
(36) [T] Somebody from this section would volunteer to try to put it into words?
(36) [T] Look at him .
(37) [S] For this one, when the denominator is bigger than the top, we realize that when thing is divided, is getting really closer and closer to zero, but it's never going to meet.
(38) [T] Why?
(38) [T] Do you need to write anything up here to support words coming out of your mouth?",I can write something.,39,"(39) [S] He's explaining, I'm just going to write while you continue to explain.
(40) [S] Put one 10.
(41) [S] If X equals-- am I doing this right?
(42) [S] Yes.
(43) [S] Actually, you just did a ton of test numbers, basically two, three, 10.
(44) [T] For what are you testing them?
(45) [S] We tested on just this, X.",1,1
"(237) [S] So is that right?
(238) [S] Yeah, if we, if they accept that.
(238) [S] But you know they’re going  to make us prove that.
(239) [S] So use that.
(240) [S] Mike, what are you doing?
(240) [S] You want to ask if they’d accept  that?
(241) [S] I’m not gonna because I don’t know.",Where’s Mr. [name]?,242.0,"(242) [S] He’s not here.
(242) [S] [Side conversation with
(243) [S] .
(243) [S] Michael draws an “awesome face.”] Is this  acceptable?
(243) [S] Length times how many sides times plus how  many ends?
(243) [T] 40:10 R1 I don’t know what you mean by an end.
(243) [S] You have to define,  you have to say what a side is and what an end…",0,0
"(65) [T] Divide.
(66) [S] ... divide more of the total.
(66) [S] So, the reason you would want a three in the divisor, is because then you would have to take away less.
(67) [T] Okay.
(67) [T] You would have fewer groups.
(68) [S] Yeah.
(68) [S] To make the groups you would have to take away, not nine, but three.","Well, because the smaller the divisor is, the more times it goes into the dividend.",69,"(70) [T] Brilliant.
(70) [T] Did you guys all hear that?
(71) [T] Say it again.
(71) [T] Say it again Isaac.
(72) [S] The smaller the divisor is, the more times it goes into the dividend.
(73) [T] Nice.
(73) [T] So that's beautiful, I might even write that down to make sure that so, also one of my favorite foods is cake.",1,1
"(116) [T] When I added 10, what did all the measures of center do?
(116) [T] They went up by?
(117) [S] 10
(118) [T] 10
(118) [T] The measures of the variation did what?
(118) [T] They stayed the same as the original measures of variation.
(119) [T] You're just figuring that out?",Two.,119,"(120) [T] Doubled it.
(120) [T] Multiplied by two.
(120) [T] You can found by multiplying everything, all of the original measures get doubled or get multiplied by K.
(121) [T] If you took a quiz and you all got 10% on it and I tripled your score, you'd all get what?
(122) [S] 30
(123) [T] 30 and the spread would also get multiplied by three, but in that case, I guess if you all got 10 our spread would be zero.
(124) [S] we did very good.",0,0
"(56) [T] So maybe after you talk, I might get some new hands up.
(57) [S] Uh, the square inches for the
(58) [T] the square inches?
(58) [T] Sure.
(58) [T] So then, what's the area of this rectangle?
(59) [S] 28
(60) [T] And how do you know?",Because of the square inches.,61,"(62) [T] How many… so, what are you looking at?
(62) [T] The square inches… you're actually looking at… what's inside.
(63) [S] The area?
(64) [T] The area?
(64) [T] And what's the area?
(64) [T] What actually is it?
(64) [T] What do you see?",0,0
"(90) [T] Talk with your table groups.
(90) [T] Go.
(91) [T] Alright.
(91) [T] Three, two, one zero.
(91) [T] What did you come up with?
(91) [T] Why am I not adding my denominator?
(91) [T] Jude, what did your table say?",Because it will be a different fraction.,92,"(93) [T] What do you mean by that?
(93) [T] It would be a different fraction he said.
(94) [S] Because you can't change the denominator.
(95) [T] I can't change the denominator but why?
(95) [T] Because you're right.
(95) [T] Pens down and listening.
(96) [S] Because the fraction  because it probably wouldn't be the right answer.",1,0
"(43) [T] See them on my board?
(44) [S] yes, now I do.
(44) [S] Can you pre split them into fourths for me?
(45) [T] Absolutely I can.
(46) [S] T, Can I go to the bathroom?
(47) [T] Go quickly Cooper.
(48) [S] All right.",Um Can you please color one piece from each pizza green?,48,"(49) [T] It is going to be person one?
(50) [S] Yes.
(51) [T] All right person one down here in the green.
(51) [T] Alright, and Asher I want to ask you a question right now.
(52) [S] Ok
(53) [T] How many people do I have in all?
(54) [S] six",0,0
"(777) [T] You have six one third meters here.
(777) [T] You have six one third  meters, so how many two third meters do you have?
(779) [S] Well we have, so you have two meters,
(781) [T] Let’s see.
(781) [T] Now imagine, this is the one.
(781) [T] You have a one  third, another one third, and another one third.
(781) [T] Show me  where two thirds would be.",Right there ,783,"(785) [T] So where would be the next two thirds?
(787) [S] There.
(789) [T] Where would be the last two thirds?
(789) [T] Would you get three or  four?
(791) [S] You get, so it would be one, two, wait,  there’s one, two, and three.
(793) [T] You think three.
(795) [S] I thought, you see what I thought?",0,0
"(139) [T] No.
(139) [T] That's funny.
(139) [T] Awesome
(140) [S] You said that it was okay to if you did those operations .
(141) [T] Yes.
(141) [T] You need to do that.
(141) [T] If you know that 5 1/3 ÷ 2/3 = 8, how could you check your work?",8 x 2/3,142,"(143) [T] This is your inverse operation.
(144) [S] you don't need to do this one, right?
(145) [T] Yes, you do.
(145) [T] So far, so good.
(145) [T] Hey, Reese.
(146) [S] explain to identify the operation.
(146) [S] Should we write that down and explain to each other?",1,0
"(166) [S] Divide.
(167) [T] Can I fit six into six?
(168) [S] Yes.
(169) [T] How many times?
(170) [S] One.
(171) [T] One.
(172) [T] Then?",Then you multiply.,173,"(174) [T] 6 x 1.
(174) [T] Then?
(175) [S] Subtract.
(176) [T] 6 - 6?
(177) [S] Zero.
(178) [S] Zero.
(178) [S] Check.",1,1
"(141) [T] We could multiply by two.
(141) [T] Yes.
(141) [T] Cole, what are you thinking?
(142) [S] Maybe you multiply by 3?
(143) [T] How comes you're proposing three?
(144) [S] I you do 3 x 4 that would be 12.
(144) [S] Since it's 40, it would be 120.",That's really close to 130.,144,"(145) [T] Yes.
(145) [T] Let's multiply by three.
(145) [T] If you did something else, that's totally fine.
(145) [T] That means that 15 boxes would be 120 bars.
(145) [T] Is that going to be enough to feed everybody?
(145) [T] Okay.
(145) [T] Not yet.",0,1
"(165) [T] Hi.
(165) [T] I know but I want to see all your steps.
(165) [T] Get in the practice of showing your work.
(165) [T] Awesome.
(165) [T] I'll be right there.
(165) [T] Hey crew, this is your minute and a half warning.
(166) [S] We're done.",What do we do now?,166,"(167) [T] I'll come check them for you.
(167) [T] Let me see.
(168) [T] How did you get eight and 9/6 to nine and 1/2?
(169) [S] Eight 9/6
(170) [T] Right here.
(170) [T] Here's give this one to Jordan.
(170) [T] Eight Plus 9/6 is the same as one and 3/6.",0,0
"(107) [S] What's the ?
(108) [T] .1, if we were looking at the tangent of .1, we wouldn't be saying how big is the red line compared to the green line?
(108) [T] Right?
(109) [S] Yes.
(110) [S] Okay.
(110) [S] Where is tangent π + theta?
(110) [S] Is that .1234567 or eight?",Five.,111,"(112) [T] That's .5.
(112) [T] Is the tangent of .5 the same as the tangent of .1?
(113) [S] Yes.
(114) [S] The tangent would be-
(115) [T] Yes, because this is the little red guy divided by the big green guy, right?
(115) [T] This is the little red guy divided by the big green guy.
(115) [T] This was a positive divided by a positive, this is a negative divided by a negative.",0,1
"(194) [S] Ten.
(195) [T] Ten.
(196) [T] Okay.
(196) [T] So.
(197) [T] I want you to at your groups talk about … wait a minute.
(197) [T] How many yellow tile and how many green tiles you think I have in this bag?
(198) [S] Six.","Five green, Six green and four yellow.",199,"(200) [S] No, I think seven greens and three yellows.
(201) [T] Seven greens and three yellows.
(201) [T] Why do you think seven greens and three yellows Robert?
(202) [S] Cause it’s on the board.
(203) [T] So you’re thinking I drew out exactly what’s in the bag.
(203) [T] Jonathan, what are you thinking?
(204) [S] Somebody, somebody could have pulled out the same tile that somebody else already …",0,0
"(393) [T] Oh- the rice cracker hard problem seems to be solved.
(394) [S] (inaudible) fifteen.
(394) [S] It's 30 degrees.
(395) [S] Teacher.
(395) [S] Fifteen.
(396) [S] Fifteen, 15, 30, 90, 90.
(397) [S] It's not 90, 90.",Ooh.,397,"(398) [S] Ninety-nine?
(399) [S] One hundred.
(400) [S] Hundred.
(401) [S] Plus.
(402) [S] (inaudible)
(403) [S] It's correct.
(403) [S] We got this.",0,1
"(81) [S] 27
(82) [S] .
(83) [T] .
(83) [T] All right.
(83) [T] So let's try a different one, are you ready?
(84) [S] Okay.
(85) [T] Okay.",.,86,"(87) [T] So kind of a long skinny one.
(87) [T] It's a two by seven, right?
(88) [S] .
(89) [T] By 10.
(89) [T] My mind is .
(89) [T] So two by 10.
(89) [T] So go and figure this out.",0,0
"(65) [T] How many have both those colors?
(66) [S] One out of--
(67) [T] What is that one?
(68) [S] Two.
(69) [T] 2/15.
(69) [T] Does that make sense?
(70) [S] No.",It does not.,70,"(71) [T] You colored it in wrong so that's what you get.
(71) [T] When you drew your box, so if your box-- The first thing I needed to do was break it into thirds, right?
(71) [T] Then I needed to color in 1/3.
(71) [T] Is that 1/3?
(71) [T] Then I needed to break it into fifths.
(71) [T] Is that fifths?
(72) [S] Yes.",0,0
"(4) [S] Just tell me the secret! 
(nan) [S] Am I the only one that doesn’t know it?
(5) [S] Mike, Mike, Mike… 1, 2, and 3. 
(nan) [S] As soon as you get them, you’ll find out the secret. 
(nan) [S] Ok? 
(nan) [S] Trust me.
(6) [S] Actually, we’re getting somewhere.","Yeah, because you have Michelle in your group.",7.0,"(8) [S] She didn’t say anything yet!
(9) [S] Oh, thanks a lot, that makes me feel good.
(10) [S] Why is it going to make you feel bad?
(11) [S] Because ‘the only reason you got anything is because Michelle’s in your group’. 
(nan) [S] What about me?
(12) [T] Could I, could I get some idea of how we’re coming along here?
(13) [S] Very good.",0,1
"(63) [T] And then we also have three that looks kind of like this.
(63) [T] And then four.
(63) [T] And then also for like tall and skinny or like one by four.
(63) [T] And then we have two ways to do five.
(63) [T] Yeah.
(63) [T] I think I agree, seven.
(63) [T] Joanna, what was the other way that you saw that you can start your shape?",.,64,"(65) [T] Yeah.
(65) [T] So that would kind of be sorting it by color, right?
(66) [S] Yeah.
(67) [T] Yeah.
(67) [T] But then you would count them, right?
(67) [T] So for every five green, there are five blue, right?
(67) [T] Yeah.",0,0
"(86) [T] And then it gives us?
(87) [S] (inaudible)
(88) [S] X plus five (inaudible).
(89) [T] X plus five is equal to?
(90) [S] Minus three.
(91) [T] Minus three... and what do we want to do now?
(91) [T] What's bothering us?",Minus five.,92,"(93) [T] It's the five which is bothering us, therefore we do...
(94) [S] Minus five.
(95) [T] Minus five.
(95) [T] Therefore X is equal to?
(96) [S] Minus 35.
(97) [T] Minus 35.
(97) [T] Okay...",1,0
"(32) [T] Connect the points in the same order that you plot them.
(32) [T] You should see the outline of a sailboat.
(33) [T] All right, so on page 134, you will see that there are some instructions at the top.
(33) [T] I'll have rulers out over there because I would like you as fifth graders to make sure that you're drawing straight lines to connect points.
(33) [T] Mika, will you please read the instructions from number one.
(34) [S] Find the column labeled the original sailboat in the table below.
(34) [S] Plot the ordered pairs once in the column of the grid and the original sailboat on the next page.",Connect the points in the same order you plot them.,34,"(34) [S] You should see the outline of the sailboat.
(35) [T] Put your finger on the original sailboat grid, coordinate grid.
(35) [T] What's the coordinate grid?
(35) [T] Clay?
(36) [S] It's like when a grid has--
(37) [T] What are those mathematical words?
(37) [T] We have these kinds of lines and these kinds of lines.",1,0
"(nan) [T] So you could just use an algorithm to do it.
(nan) [T] I really want to, I know I love that you have an algorithm that you can hang on to and use for this stuff.
(nan) [T] But I also want you to think about conceptually what we're doing.
(nan) [T] So conceptually 13 times two thirds means 13, two thirds, right?
(nan) [T] So it would, it could be two thirds plus two thirds.
(nan) [T] How many more?
(nan) [T] Plus two thirds, how many, two thirds do I need here?",Two.,,"(nan) [T] 13 of them, right?
(nan) [T] We're asking for 13 out of two thirds, right?
(nan) [T] So we could add up two thirds, 13 times, right?
(nan) [T] And then if you ended up with that plus two plus two.
(nan) [T] Oh my gosh.
(nan) [T] Plus two.
(nan) [T] Why is this not working for me?",1,0
"(163) [T] I want you to think about that.
(163) [T] Can you figure that out?
(164) [S] Yes.
(165) [T] We did the 2/3 x 9.
(165) [T] What operation would you use to solve this number story, Linda?
(166) [S] Multiplication.
(167) [T] How do you know?","He's spending some of his money, so 2/3 of his money.",168,"(169) [T] Yes, will the product be greater than nine, Georgia?
(169) [T] We already solved this problem 2/3 of 9?
(170) [T] No, it's not even greater than nine, how do you know?
(170) [T] Because we are multiplying?
(171) [T] Yes, so the product is going to be smaller awesome.
(171) [T] Let's see, I would like these two tables to do a problem with this one, Table 3 and 4, 1/6 and 3/4, Table 5, 1/8 and 2/3, and Table 6, 1/4, and 4/5, go.
(171) [T] I'm going to give you a couple of minutes, come up with real-world problems.",1,0
"(1156) [T] Ankur understands. 
(1157) [T] So he can tell you.
(1158) [S] See, like that?
(1159) [S] So it would be, um, like N over, not two over.
(1160) [S] Well, it would be.
(1161) [S] N choose.
(1162) [S] It would be.","Well, and N, make N like your height or something.",1163.0,"(1164) [S] All right, so say-
(1165) [S] N equals height.
(1166) [S] Well that would.
(1167) [S] Well, write the X. 
(1168) [S] Write a plus b to the whatever it is next to it.
(1169) [S] Yeah.
(1170) [S] You know what I mean?",1,1
"(46) [T] When I say unit fraction, what is that?
(46) [T] unit fraction is?
(46) [T] Asher?
(47) [S] It's like not 3/6 but a whole.
(48) [T] Not quite.
(48) [T] Vivian?
(49) [S] Is it a proper fraction?",There's improper fractions and .,49.0,"(50) [T] That is a good thought.
(50) [T] A unit fraction just has one in the numerator.
(50) [T] A unit fraction equals one as the numerator.
(50) [T] 1/2, 1/3, 1/5, those are all unit fractions.
(50) [T] This is going to be an important step.
(50) [T] I told you to find 3/5 of 10, so let's  find 3/5 of 10.
(50) [T] The first thing you're going to do is find the unit fraction of the whole.",0,1
"(277) [S] Yes.
(278) [T] All right so those are your two options.
(278) [T] You can what Paisley said, 1 + 2X or you can do 2X + 1.
(279) [S] What would happen if we then wrote Y= 2X?
(280) [T] Then that does not account for the Y-intercept for you.
(281) [S] Then it starts at (0, 0)
(282) [T] Instead of (0, 1) Harriette, question?","In here it doesn't really matter if you do 1 + 2X or 2X + 1 but like how the dollar sign before the number, it's not really wrong if you do it after the number but most people do it before.",283,"(283) [S] Is there a way like that with this?
(284) [T] Not really.
(284) [T] This is like saying that when you add two things, it doesn't matter which thing comes first.
(284) [T] I guess if they're both positive, it doesn't really matter.
(284) [T] Even when you're adding something that's positive and negative together, it doesn't matter which direction you do it, as long as you're combining them.
(284) [T] That's the same thing for this.
(284) [T] Addition, the order doesn't matter.",1,1
"(153) [T] Perhaps it has to be working towards being correct.
(154) [T] Okay.
(154) [T] Hold that back.
(155) [T] Okay.
(155) [T] I see a couple of people finishing up coloring, so I'm going to give you about 10 seconds.
(155) [T] Finish your coloring.
(156) [T] Classidy class.",Yessi-yess yes.,157,"(158) [T] Eyes up here.
(158) [T] This is the last edition problem we are going to do together then we're going to skip to a subtraction problem and talk about that.
(158) [T] Give me place to five, how are you feeling about addition right now?
(158) [T] Three being almost there, confused on a few things, four being, I got it, five being, I can teach it.
(158) [T] Okay.
(158) [T] Awesome.
(158) [T] This will be the last addition problem we do.",0,0
"(nan) [S] Ten.
(nan) [S] Five, five, and six, four.
(nan) [S] Yes.
(nan) [S] Eleven is five, six, and twelve is six, six.
(nan) [S] And what’s today’s date, Ank.
(nan) [S] It’s the twenty‐first.
(nan) [S] What is it?",Twenty‐first.,,"(nan) [S] OK. 
(nan) [S] Oh, you only put our name on it; you’re talking about me being like that.
(nan) [S] I’m still writing the date here.
(nan) [S] Let me see. 
(nan) [S] Let me write my name.
(nan) [S] OK, so what else do we‐what else are we putting? 
(nan) [S] OK.",0,1
"(61) [S] Negative or positive?
(62) [T] Positive three-quarters.
(63) [S] Positive three-quarters, that is simple.
(64) [T] I am confused.
(64) [T] Yeah, let us hear what Meredith has to say.
(64) [T] Why don't you all sit  down.
(65) [S] If you are asking where is three fourths, three fourths would be here, here, and  here.","This would be one-quarter, this would be two-quarters, this would be three- quarters, and this would be four-quarters.",65,"(65) [S] This would be one and one-quarter, this would be one and two-quarters.
(65) [S] This would be one and three-quarters, this would be one and four-quarters.
(65) [T] This  would be two and so on.
(66) [T] I am still confused now why one half is on the zero?
(66) [T] And, why two quarters is  between zero and one?
(66) [T] I am very confused.
(67) [S] If you have zero to one, it would not be from zero to four.",1,1
"(nan) [T] So what's left?
(nan) [T] I have 123 sixths.
(nan) [T] Does that make sense?
(nan) [T] Okay.
(nan) [T] All right.
(nan) [T] So you guys have some different strategies for proving.
(nan) [S] Now that I think of it, three sixths basically a half.",So that's about the same.,,"(nan) [T] Yours?
(nan) [S] Yeah, and the half.
(nan) [T] Well, a half is the thing, yeah, this is the thing, our estimates are two minus one and a half is a half.
(nan) [T] We got exactly the right number.
(nan) [T] So the answer is three sixths.
(nan) [T] So here I'm gonna put two and one sixth minus one and four sixths equals three sixths.
(nan) [T] Okay, um, for those of you who like algorithms you can take- Tom did you have a question?",0,1
"(183) [T] Okay.
(183) [T] So when you say you're adding them all together, are you just doing 53, 54, 55, 56, 57, 59, 60, 61, 62?
(184) [S] No, I'm adding each, because you already told me what each  sticky note is worth by adding -
(185) [T] So what is this number that you would add right here?
(186) [S] 108
(187) [T] What is the number you would add here?
(187) [T] This one's a little harder.","I have that somewhere, but I don't",188,"(189) [T] So it's 56 times what?
(190) [S] Seven.
(191) [T] Seven.
(192) [S] Which would be 656.
(193) [T] Seven times six is 42.
(193) [T] And that's 35.
(193) [T] 392",0,0
"(227) [S] Fraction.
(228) [T] So, yes.
(228) [T] So without a calculator we'll try it now.
(229) [T] Yes, so.
(229) [T] And now we'll know what to do.
(230) [T] So, I want you to write it in the form of a single fraction, Jirka.
(230) [T] What is this form called?",This is a complex fraction.,231,"(232) [T] This isn't a complex fraction.
(232) [T] How is it called?
(233) [S] Mixed.
(234) [T] Mixed number, and now I'd like a simple fraction.
(235) [S] (inaudible)
(236) [T] So, in this form for example, good Jirka.
(236) [T] So, do you all have it?",0,0
"(188) [T] , it's going to get solved, but
(189) [T] , because the future one
(190) [S] No, no,  the number model
(191) [T] Let's show beyond this, and then
(192) [T] Draw me a line here.
(193) [T] Thank you.
(194) [T] Okay, all right","Okay, thank you.",195,"(196) [T] If I  going to come later today .
(196) [T] Okie doke?
(197) [S] Yeah,
(198) [T] All right,
(199) [T] Do you  leave these on the table?
(200) [T] Please, thank you.
(201) [T] Oh,  two lines -",0,0
"(57) [T] Okay, so the shaded...
(58) [S] Double shaded.
(59) [T] Okay, double shaded.
(59) [T] Okay.
(59) [T] But what does that mean?
(59) [T] Cooper?
(60) [S] If you do three fifths and then one third across, then three of those fifths would equal three, I guess.","So you double shade a third, but also, you're shading a part where three fifths were shaded.",60,"(61) [T] Okay.
(61) [T] So the three is the part that's double shaded.
(61) [T] That is truly the answer, right?
(61) [T] Three is the answer.
(61) [T] And the 15 represents what?
(61) [T] Isaac?
(62) [S] It represents the",1,1
"(36) [T] Do you want to go back to the question?
(36) [T] Why would they just focus on this row?
(37) [S] Because it says how much  instead of
(38) [T] I like how you're thinking  that is really good thinking.
(38) [T] So, she thinks that they're focused on the first row.
(38) [T] Thank you.
(38) [T] Why would they just be focused on the first row, Logan?",I think if you focus on the first row-,39,"(40) [T] Listen up.
(41) [S]  because  you don't need to worry about group A.
(41) [S] You just need to worry about group B because it's easier
(42) [T] Why?
(43) [S] Because that's what we're trying to  how much group B took
(44) [S] to disagree
(45) [T] Okay, keep going,  come on up",1,1
"(75) [T] Davis, do you normally work with Michael?
(76) [S] Not really.
(77) [T] Okay, would you please go stand by Michael.
(77) [T] Do you normally work with Connor?
(78) [S] No.
(79) [T] Would you please work with Connor.
(79) [T] Do you normally work with Zach?",No.,80,"(81) [T] Okay, would you please work with Zach.
(81) [T] And that should leave John and Austin, do you normally work together?
(81) [T] Okay, how about you and Gage?
(82) [S] Yeah we do too.
(83) [T] What about Austin and Gage?
(83) [T] Do you normally work together?
(84) [S] Oh they're friends.",0,0
"(165) [T] Alfred?
(166) [S] I need to put it into thirds and fourths.
(167) [T] You're right, thirds.
(167) [T] It's thirds.
(167) [T] Now I have it in half and now I have it in one, two, three thirds.
(167) [T] How much of those thirds did I eat?
(167) [T] Jamie?",One.,168,"(169) [T] One, so I only ate one.
(169) [T] I'm going to color in the one I ate darkest.
(169) [T] How much did I eat of the whole pizza?
(169) [T] Arthur?
(170) [S] 1/6.
(171) [T] Okay, friends, I want you to quietly try this one on your own.
(171) [T] Draw really lightly just in case you make a mistake.",0,0
"(149) [S] And four liters of orange juice with five liters of soda water, that's another one difference.
(149) [S] So I don't think it will be that far off.
(150) [T] You're right.
(150) [T] It wouldn't be that far off, but it's still going to taste different.
(150) [T] So let me finish Terrance.
(150) [T] So Terrance's going to have... Actually, you guys tell me.
(150) [T] , ow many circles should I draw for Terrance?",Four.,151,"(152) [T] Okay.
(152) [T] One, two, three, four.
(152) [T] Awesome.
(152) [T] , how many squares should I draw for Terrance?
(152) [T] How much soda water?
(153) [S] I did five.
(154) [T] Okay.",1,0
"(35) [S] Half of eight.
(35) [S] Wait a minute.
(35) [S] I did this for the last one.
(37) [S] Six.
(38) [S] Half of six equals three.
(39) [S] One, two, three, four, five, six, seven, eight, nine, ten, eleven.
(40) [S] That equals eleven rods.",Times two is twenty-two.,41,"(42) [T] That’s for how many rods?
(43) [S] Huh?
(44) [T] Go ahead, go ahead.
(44) [T] Keep going.
(45) [S] Minus two is twenty.
(46) [T] That is for how many steps?
(47) [S] Six.",1,1
"(nan) [T] You  can write, you can draw, whatever. 
(nan) [T] Explain that to me but  whatever you do on here, I want you and your partner to  decide what you’re gunna put on the large paper.
(nan) [T] Remember  when we did this last year? Okay so you’re going to decide  what your group answer is, and how you did it and put it on  a large paper for me.
(nan) [S] I guess we’re gunna use these (holding up marker)
(nan) [T] You can use the markers if you want, just be careful
(nan) [S] I’ll use the light blue marker, and then if I draw a picture ill  use the dark one.
(nan) [S] Yeah, I’m gunna use them both","The little one doesn’t write that big, so I’ll have more room.  ",,"(nan) [S] Wait Stephen. 
(nan) [S] Stephan has  a white shirt, a blue shirt, and a yellow shirt. 
(nan) [S] Want me to  read it out loud?
(nan) [S] No I’ll do it.
(nan) [S] He has a pair of blue jeans and a pair of white jeans
(nan) [S] How many different outfits can he make?
(nan) [S] Well why don’t we draw a picture?",0,1
"(211) [T] How many people have you actually got here?
(212) [S] Two.
(213) [T] Two.
(213) [T] Only two people involved in this story.
(213) [T] Only person A who gets two shares and person B who gets?
(214) [T] Five shares so you need to think of a story as to why two people would get different amounts of Smarties.
(214) [T] Lindsey?",A.,215.0,"(215) [S] A.
(nan) [S] Um, (inaudible) to what person B (inaudible).
(216) [T] All right.
(216) [T] So, I had some Smarties and person A stole some?
(217) [S] Yeah.
(217) [S] Person B stole some from person A.
(218) [S] Person B pays-",0,0
"(13) [T] I'm going to ask you that you don't write anything down.
(13) [T] Those of you at home, that you don't use any calculators.
(13) [T] And I want you to think about this problem using your mental math.
(13) [T] Now, even if you're not sure exactly how to do it, I want you to have an estimate ready to go.
(13) [T] Can you guys do this?
(13) [T] This isn't like a quick thing, like your work from yesterday, so I'm going to give you guys some time to do work it out.
(13) [T] So this says to find the quotient mentally.",What's quotient again?,14,"(15) [T] You just read my mind.
(15) [T] I'm so glad you asked.
(15) [T] A quotient is the answer to a division problem.
(15) [T] Okay?
(15) [T] So I want you guys to think about 246 divided by 12.
(15) [T] Okay?
(15) [T] 246",0,0
"(163) [T] Just to--
(164) [S] .
(165) [T] Does that look like a sailboat to you?
(166) [S] Yes.
(167) [T] It doesn't look one to me, and neither does that one.
(167) [T] I want you to redraw every point of it, okay?
(168) [S] Not on my book.",Why did you just clean it for?,168,"(169) [T] Then I ask you, what is this, first?
(169) [T] What is this for?
(170) [S] To make straight edges.
(171) [T] Erase the whole thing, and you're going to start with 16 and two.
(171) [T] Here's 16 and two, and that one is 10 and two, so here's 10 and two.
(171) [T] You connect those.
(172) [S] I know.",0,0
"(128) [T] Identity.
(128) [T] Identity means that they are exactly the same.
(128) [T] Okay?
(128) [T] Follow me.
(128) [T] Identity.
(129) [S] Identity.
(130) [T] Identity.",Identity.,131,"(132) [T] Okay?
(132) [T] And therefore, for this kind of identity, we will give it a symbol, this time, not just two lines.
(133) [T] We use three lines as a symbol.
(133) [T] It means both sides are identically the same.
(134) [T] We say that, two X plus 10, is identically equal two bracket, two, uh- X plus five.
(134) [T] Okay?
(134) [T] It's identically equal.",0,0
"(nan) [S] It's All right. 
(nan) [S] Hold on, just give me a second. 
(nan) [S] Thirty-six and one twenty-eight's, uh -  it's sixty-four.
(nan) [S] Know better
(nan) [S] Even though if you do this, that's [inaudilble]
(nan) [S] Maybe
(nan) [S] This - uh - ",It's kind of like the [inaudible].,,"(nan) [S] What'd you say, now
(nan) [S] Would you do, like, a half by a total number [inaudible]? 
(nan) [S] How many games do you have total, of five that equal one?
(nan) [S] Eight
(nan) [S] Or -  so -  total eight.
(nan) [S] Yeah
(nan) [S] And then ,uh, six?",1,0
"(nan) [T] So what did you say though?
(nan) [T] I do want to know what you said.
(nan) [S] 2/4ths would be the half.
(nan) [T] 2/4ths would be the half.
(nan) [T] Very good.
(nan) [T] Okay.Alright.
(nan) [T] Hunter explain the next one.","Okay, um.",,"(nan) [T] 3/8ths or 1/2?
(nan) [S] I said one half because 3/8ths is not even half (inaudible) 3/8ths.
(nan) [T] Excellent.
(nan) [T] Thank you.
(nan) [T] And Rylan do the last one please.
(nan) [S] I said 2/3rds because 2/3rds is bigger than one half.
(nan) [T] Excellent job.",0,0
"(17) [S] [000243]
(18) [T] [000244] We have to have a scale, we have to have our items along the bottom.
(18) [T] [000247] [000248] You have all of the complete information up here.
(18) [T] I want you to make a bar graph with your group displaying this information.
(18) [T] [000257]
(19) [S] [000257] So go from right—one, two, three, four, five, right align it.
(19) [S] Let’s see boy, 5, 10, 15, 20, 25 30.",And it went all the way up to 50.,19,"(19) [S] [000307]
(20) [S] [000308] We are counting blue all the way up to 40 because—counting by 2’s up to 50.
(20) [S] And then we’re coloring in up to the number that’s on the board.
(20) [S] [000323]
(21) [T] [000323] Had lots of different discussion about how the scale should be set up.
(21) [T] [000327]
(22) [S] [000328] Yeah.",1,1
"(22) [T] Hold up.
(22) [T] Where are your four thirds?
(23) [S] Well…well, well when you said … to split it in half  [he covers six  of the twelve blocks] like that there are only two fourths left over,  yeah.. there are only two fourths when it’s a whole there are four  thirds … I can’t explain it too well…
(24) [T] I am not sure I understand what you are saying.
(24) [T] Can some else help?
(24) [T] Danielle do you want to go up there and ….
(25) [S] No, I just have something to say ….","Cause, If there’s four fourths,  um, and half of four is two, so two fourths would be a half.",25.0,"(26) [S] But I thought about it the other way around.
(27) [T] What do you mean by the other way around, um, Brian?
(28) [S] Well, instead of, well she went two fourths like going across, like  cause those are fourths and that’s a fourth and there are two of them.
(28) [S] I have another way.
(28) [S] It’s, I have three, I think three sixths.
(29) [T] Three sixths?
(30) [S] Because well, because a whole, there’s a whole, if there’s [looks at  overhead and counts with fingers] yeah it’s three sixths.",1,1
