previous_context,student_utterance,turn,subsequent_context,Offering Math Help,Successful Uptake
"(102) [T] Under what circumstances can-
(103) [S] Actually it should be a zero there, too...
(104) [T] Well, then write it down... From- one of the two (inaudible), that's a special case.
(105) [S] Ma'am, is that right (inaudible)?
(106) [T] I don't know if that's a beneficial beginning.
(107) [S] Can't you do that...
(108) [T] Do it first in your notebook.",Ye-es.,109,"(110) [T] Hm... then it gets problematic- right, because you've got X squared and X.
(111) [S] How con you solve this?
(112) [T] Take a good look at- the term and maybe think a little about our ""factorizing forceps""-
(113) [T] Or how did we call it- yesterday... there, our- our friend and helper.
(114) [T] Hm... Tomi!
(115) [T] Look, hm?
(116) [T] We met this one yesterday, right?",0,0
"(84) [T] I like it.
(85) [S] Could it be division?
(86) [T] Division.
(86) [T] Mm-hmm .
(86) [T] Zane?
(87) [S] You could also use them for .
(87) [S] For every two batches of strawberries, you get $3.",Ratios,87,"(88) [S] Ratios.
(89) [T] Yeah.
(89) [T] The two of you, awesome.
(89) [T] Ratios, we have a ratio statement.
(89) [T] And this two for $3.
(89) [T] This is a ratio here.
(90) [S] That's two thirds.",1,1
"(131) [T] I want to see arrows at the end of things, all right?
(131) [T] I want to see all of that kind of stuff.
(131) [T] Your homework, 234 number 7, keep doing the same thing: ignore the book directions, do that same thing, find the key features in the graph.
(131) [T] We're almost done with this phase of
(132) [S] Hi SCU researchers, we're back again.
(132) [S] If you made it this far into our recording, can you please add our Snap so we know who you are, my Snap is A-I-D-E-N-A-I-0-1.
(132) [S] Noah's is--","I don't know by memory, Aiden.",133,"(134) [S] Noah's Snapchat is N-B-I-G-H-O-U-S-E-2-0-1-9 and Mia's is M-I-A_R-E-E-S-E-11, thank you, bye.
(135) [T] Yes, you can start doing that now.
(135) [T] Number one here's what'll make that more efficient  go through these and start the ones that you don't know already what the mistakes are .
(135) [T] Math chat, not Snapchat.
(136) [S] Right.
(137) [S] Did you get good audio today?
(138) [T] Well, investigate why that happened.",0,1
"(397) [T] You need to be working on your math for me.
(398) [T] And you get your math journal out, because I think you can do this .
(398) [T] If I give you the numbers, you should be able to do this?
(399) [S] Where did I get the seven?
(400) [T] Huh?
(400) [T] So let's try, and don't get frustrated.
(401) [S] Oh, yeah.",10-seven right there.,401,"(402) [T] Okay, so remember when we coordinate, this is ... May I borrow your pencil?
(403) [S] There's no 10-10 anywhere.
(404) [T] This is the X axis.
(404) [T] This is the Y axis.
(404) [T] We always do X first, okay?
(404) [T] That's always our first number.
(404) [T] So eight-one, so I would come over here to eight, and then I would go up to one, okay?",0,0
"(61) [T] No, no, no, no.
(61) [T] I don't ever tell people, I ask people.
(61) [T] This pen is going to be a huge issue.
(61) [T] Let's do this, you talk, I'll write.
(62) [S] What does the denominator mean in this problem?
(63) [S] What?
(64) [S] Pete?",Denominator is the main problem,65,"(66) [S] What?
(67) [S] Andre.
(68) [S] A denominator
(69) [T] In this problem?
(70) [S] In this problem, the denominator is five, so-
(71) [T] Don't talk to the board.
(71) [T] The board doesn't care, Mr. Parker.",0,1
"(15) [S] Oh, yeah, I don't understand it.
(16) [T] ... but it is better to know that if I count by 9s, that I know what they are.
(16) [T] Okay?
(16) [T] That is what you have to be able to do.
(16) [T] And if you notice it drops by one every time, 9, 18, 27, 36, 45, 53, 62-
(17) [S] 54
(18) [T] ... 54, 63, 72, 81-","90, 99.",19,"(20) [T] ... 90, 99, 108.
(20) [T] Wow, that took some ...
(20) [T] But you see, I can do it, I can do it.
(20) [T] And you got to be able to do it that way, or math is going to get harder, and harder, and harder.
(20) [T] So start working the multiplication facts if you don't know them.
(20) [T] That is my 10-minute dissertation this morning.
(21) [T] So today, I can use US traditional multiplication to multiply two digit numbers by one digit numbers.",0,0
"(145) [T] You need to do your work and Lisa needs to do her work because copying her does not teach you anything, doesn't it?
(145) [T] Thank you.
(145) [T] You do your work.
(146) [S] Zero, zero, don't put .
(147) [T] No, you may go back and start working on math boxes for the previous unit four lesson.
(148) [S] Then, do two--
(149) [S] (2,4), then (10, 4).","Okay, I see what I messed up now.",150,"(151) [S] Then if I put the letters in, RC, I see now.
(152) [T] Lisa.
(152) [T] It's going well.
(153) [T] Work on previous days and math lesson after you've met math boxes.
(153) [T] Friends, Hudson's getting our copies and then we can continue our lesson.
(153) [T] I apologize to you.
(153) [T] We were not prepared for today.",0,1
"(8) [T] I Apolo say, the rhombus to start off is tricky.
(8) [T] So make sure that you actually have a rhombus.
(8) [T] You actually have four equal sides.
(8) [T] What's this one?
(8) [T] That's two units.
(8) [T] And that's slightly longer than .
(8) [T] This is across.",Some of these are hard.,9,"(10) [T] They're .
(10) [T] I think that's why they're a big warmup.
(10) [T] So it's like get your brain into geometry mode.
(10) [T] Anybody have all four in here?
(10) [T] No?
(10) [T] Tricky?
(10) [T] So let's talk about these first four.",0,0
"(213) [S] Okay from nine one you're one, two, three, four.
(213) [S] Yes, I'm above you now.
(214) [S] (9,4) you're one block away.
(214) [S] .
(214) [S] You're correct on the Y .
(214) [S] Just change the bottom of the X. .
(214) [S] Yes, you can .",One block away.,214,"(214) [S] One.
(215) [T] All right, five, four.
(215) [T] We're going to stop.
(215) [T] If you did not get a chance to finish, that's fine.
(215) [T] We're going to recycle these papers.
(215) [T] I'm going to make new ones so that you can see the grid better.
(215) [T] If you will recycle make sure all pencils, pens, markers are picked up off the ground.",1,1
"(11) [T] You think that will help?
(11) [T] Ok. Could you give out these for me, Jackie to the tables?
(11) [T] What are you thinking, Meredith, while we're giving these -  Erik [inaudible] Alan.
(11) [T] Meredith?
(12) [S] Ok, what do we need?
(14) [S] We need the uh, two oranges and the purple
(15) [S] Yeah, I remember, two oranges and the purple.","This was our  last one, because I remember I was tracing on it,",15,"(16) [S] Oh, yeah,
(17) [S] Two oranges, one purple, the browns I remember were the  thirds.
(18) [S] Yeah.
(18) [S] And the halves were the
(19) [S] We didn't need, we didn't need halves, remember?
(20) [S] I know, but we did build em.
(21) [S] I think it was the blacks, or the dark greens.",0,1
"(230) [S] Two-thirds.
(231) [T] Two-thirds and...
(232) [S] Eleven-twelfths.
(233) [T] Eleven-twelfths.
(233) [T] They're both only one part numerator to denominator.
(233) [T] So, Miss Marie, if I were to take my two denominators here and make them my factors and multiply them together, what would I get?
(234) [T] No wonder Jesus beat you, huh?",36?,235,"(236) [T] Good.
(236) [T] You got to practice your twelves, my dear.
(236) [T] We get 36.
(236) [T] Miss Georgia, how did I get from three to 36?
(236) [T] What did I do?
(237) [T] Multiplied by...
(238) [S] 12?",0,0
"(nan) [T] Because we are looking for divisors of this right?
(nan) [S] The seventeen is lower than the nineteen.
(nan) [T] And one certainly divides seventeen and what other number might work?
(nan) [S] One and seventeen.
(nan) [T] Seventeen, so all we got to do is try one and seventeen and see what happens.
(nan) [T] What happens when you try those?
(nan) [S] I can do one.",I’ll do one.,,"(nan) [T] You try one and you’ve got one minus nineteen.
(nan) [T] How much is that?
(nan) [S] If that nineteen was an eighteen, if that nineteen was an eighteen, it would have worked.
(nan) [S] It would have worked.
(nan) [T] Yeah, one minus nineteen is negative eighteen, right?
(nan) [S] If nineteen was eighteen, it would have worked.
(nan) [T] And so I have seventeen so it’s not zero. ",1,1
"(50) [T] Yes.
(50) [T] Mm hm!
(50) [T] Brandon?
(51) [S] Finding out what is the length and what is the width?
(52) [T] Okay, so you would find out what the length and what the width is?
(52) [T] And then what would you do?
(52) [T] Alex?","After you found it out, you would multiply them.",53,"(54) [T] Okay, you multiply it?
(54) [T] Okay, really quickly, with your partner, we asked a couple students to come up, … or a student to come up.
(54) [T] Can you talk with your partner and see what this student did?
(54) [T] Okay?
(54) [T] Talk to your partner.
(55) [T] What did that student do?
(56) [S] It's the area.",1,1
"(104) [T] Okay.
(104) [T] I'm going to use two.
(104) [T] All right River, so if I'm using two, what I'm doing is I am now dividing both of my fractions by two, or both of my numerator and denominator by two.
(104) [T] So River, what is six divided by two?
(104) [T] How many times can I count by twos to get six?
(105) [S] Two.
(106) [T] Two, four.",Six.,107,"(108) [T] So how many times did I count by two?
(109) [S] Oh, three.
(110) [T] Three.
(110) [T] So my numerator is three, River.
(110) [T] What about my denominator?
(111) [S] 
Hmm.
(111) [S] Six, I think.",0,0
"(11) [T] Okay, thank you.
(11) [S] And go ahead Maddy, show us what you've done.
(12) [S] So what I've done is, so each of these boxes are worth 100.
(12) [S] And so I have two of these is two tenths.
(12) [S] So in there needed to be six of them.
(12) [S] So I did 12345 and then six down here.
(12) [S] And so I knew like they did that this was one whole.",So that's how when where I put the one and then I saw that there was two tenths left so that I put the two.,12,"(13) [T] Excellent job, okay, so Landon, I'm going to come to you now Landon, are you frozen?
(13) [T] Oh, no, he's moving.
(13) [T] So Landon.
(13) [T] Can you turn your microphone on?
(14) [S] Yes.
(15) [T] Okay.
(15) [T] So, I don't mean to put I'm not putting you on the spot.",1,0
"(675) [S] Johnny.
(676) [T] Tim.
(677) [S] Johnny.
(677) [S] Give me my magazine.
(677) [S] Give me my magazine.
(678) [T] We have about three minutes.
(679) [S] (inaudible) start.","No, I almost (inaudible).",680,"(681) [T] Marcus.
(681) [T] Jen.
(682) [S] (inaudible)
(683) [T] Yes.
(683) [T] Marcus, you start?
(684) [T] Class we're going to finish by playing 24.
(685) [S] I get to go first.",0,0
"(10) [T] That one?
(11) [S] Yes.
(11) [S] Multiply the bottom of the other side so then you end up getting that  and then divide it on both sides, you should get
(12) [T] Poll the class?
(13) [T] Does anyone have any little picky little detail that's bugging them about that?
(13) [T] What?
(14) [S] You tell me if this is wrong.",I just multiplied it to the top and then multiplied to the other side so I canceled that one out and then multiplied it to that side .,14,"(15) [T] I think that's basically what you did.
(15) [T] What's bothering me?
(16) [T] That right there.
(16) [T] Just turn it into a big dot.
(16) [T] Let's see how well you did.
(17) [T] Let's see who the winner is for the next problem.
(18) [T] The people who most want to do it, they must've  universe.",1,1
"(nan) [S] Ten.
(nan) [S] Ten is me.
(nan) [S] Twelve is me.
(nan) [S] I’m gonna have a laugh attack any second now.
(nan) [S] Five is me.
(nan) [S] Me. 
(nan) [S] It’s me.",I know.,,"(nan) [S] Oh.
(nan) [S] I was like waiting.
(nan) [S] Six is‐
(nan) [S] ‐is me.
(nan) [S] It’s you?
(nan) [S] No, you.
(nan) [S] Oh, me?",0,1
"(280) [T] One, two, three.
(280) [T] [background conversation]
(281) [T] Does it work?
(282) [S] No.
(283) [T] Close though not quite okay.
(283) [T] It's not purple.
(284) [S] It's because when it's-- there's not enough-- there's one more than nine.","If it was nine, putting together would equal that.",284,"(285) [T] I want you to hold on to that idea because I'm going to come back to that.
(285) [T] Okay?
(286) [S] Does one work?
(287) [T] Does what work?
(288) [S] One.
(289) [T] One?
(289) [T] No.",1,0
"(200) [T] I need your voices off.
(200) [T] Kaylee, what am I going to do to represent what part of the pizza Ava has?
(200) [S] We're going to fold this into two halves, and we're going to color or pencil one of these halves.
(201) [T] We're going to color one of the halves in pencil or in color.
(201) [T] So, color that half.
(202) [T] Kayla, I'm coming to you, to see this better be done.
(202) [T] Okay, wait, Asher, what am I representing with my paper?",1/2.,202,"(203) [T] 1/2 of what?
(204) [S] 1/2 of the veggie pizza.
(205) [T] Who has the half of the pizza?
(206) [S] Ava.
(207) [T] Ava.
(207) [T] So, Ava has 1/2 of a veggie pizza, how am I going to model that she eats 2/3 of that pizza?
(207) [T] Turn and talk at your table.",0,0
"(5) [T] Okay, so you got your introduction to dividing fractions and it was pretty easy, wasn't it?
(5) [T] What do you do to divide a fraction?
(5) [T] Turn and talk at your table.
(6) [T] Okay, guarders up.
(6) [T] Andy, what's a strategy you can use to divide the fractions?
(7) [S] You could draw a picture to represent the whole.
(8) [T] You could draw a picture.",You could draw a picture.,9,"(10) [T] Then show--?
(11) [S] Different parts of it.
(12) [T] Different parts, okay.
(12) [T] Paul, will you add to that?
(13) [S] to find the answer, and then shade that in.
(14) [T] Okay.
(15) [S] You can add one.",1,1
"(159) [T] Also think about your multipliers in the table.
(159) [T] Zero times anything, does it equal four?
(159) [T] 2 x 60, so it's always the numbers, right?
(159) [T] I'll just show it to you.
(160) [T] Let's put some M equal at the beginning of this.
(160) [T] That's good.
(160) [T] You can go grab your homework.",I don't get the equation because I know it,161,"(162) [S] 144 minus quantity of 12-- No, 144 - 12 times the number, times W. 144-
(163) [S] 144
(163) [S] I've erased that three times.
(164) [S] -minus 12 x W because 12 x W is
(165) [T] What does the 144 mean?
(166) [S] No, I think you did it wrong.
(166) [S] You're supposed to go",0,0
"(67) [S] Um, ok, it's doubled because it now it has four oranges and two  purples or a brown, so
(68) [T] But the first one doesn't have any purples.
(69) [S] Well, that's because this had nothing to do with the first problem  because of the first question, but
(70) [T] I'm not sure I understand what you're saying.
(71) [S] Had there have been sixths.
(72) [S] I know.
(73) [T] We didn't have sixths, we had twelfths here.",Mmm hmm.,74,"(75) [S] I think I know what he's saying.
(76) [S] Right, there you have twenty-fourths and the whites are forty- eighths this time.
(76) [S] Now, up there, there are no purples, because they  weren't put on.
(76) [S] But had they have been, on the bottom, which they  are, they are twelfths, because
(77) [S] Purples?
(77) [S] In that
(78) [S] Purples are twelfths.",0,0
"(157) [S] 12
(158) [T] 12
(158) [T] And then let's add our fractions together and what would we get?
(159) [S] 19
(160) [T] 
Okay now 19/24 is just a fraction it's not an improper fraction so we don't have to change anything with it.
(160) [T] So your final answer here is, 12 and 19/24.
(160) [T] Do you guys have any questions about that one?","Miss, I get everything, except how we do the nine over 24 and ten .",161,"(162) [T] You mean like how we got to those equivalent fractions?
(163) [S] 
Yeah.
(164) [T] So if I have 3/8 here.
(164) [T] We can think of this like a ratio table and I want to get eight to 24 because that's a common multiple between eight and 12.
(164) [T] So I have to...
(165) [S] No I know that...
(166) [T] Oh okay then what's your question sorry?",0,0
"(131) [S] I guess.
(131) [S] [Brian: Uh-oh.]
(131) [S] But it’s because the length is,  we all ready have the cubes and we just need the surface.
(131) [S] No?
(131) [S] I don’t know.
(131) [S] I don’t know.
(132) [S] Rutgers always stresses me out.",Don’t throw tables or anything.,133.0,"(133) [S] I can’t believe you did that  that one time.
(134) [S] I never threw a table at you.
(135) [S] Oh, you were about to throw the table.
(136) [S] I left it and dropped it because it was too heavy.
(137) [S] Okay, the length of the square units.
(138) [T] Romina, I know you have an idea here, but you have to work  on the language for it, right?
(138) [T] What’s, what’s, what’s, what’s  causing you trouble?",0,0
"(7) [T] Absolutely.
(7) [T] Jose T, what do you know about division?
(8) [S] is the opposite of it  It's the opposite of multiplication to and the same as a subtraction.
(9) [T] Absolutely.
(9) [T] Yeah, absolutely.
(9) [T] Brady, what do you know about division?
(10) [S] I know that it's.","So you take one number, say like 12 Then you divide it by two And that's going to be, I think two.",10,"(11) [T] Okay, Brady, I love that you just gave me a problem.
(11) [T] You are helping me teach this lesson.
(11) [T] Okay.
(11) [T] You guys are all exactly right.
(11) [T] Okay, division is the opposite of multiplication, it is repeated subtraction.
(11) [T] And then what Brady is getting into is he's saying, Okay, this is what it looks like.
(11) [T] Now, there are a couple different ways to show division problems.",1,0
"(69) [T] Okay.
(69) [T] Does everybody agree with seven eighths?
(69) [T] Okay, let's count by eighths.
(69) [T] One eighth, two eighths, three eighths, four eighths, 5 eighths, 6 eighths, 7 eighths.
(69) [T] They almost what?
(69) [T] What is seven eighths almost?
(69) [T] Gordon, what is seven eighths almost?",It's almost a whole.,70,"(70) [S] It's almost one.
(71) [T] Yeah, because the whole would be how many pieces?
(72) [S] Eight.
(73) [T] Eight.
(73) [T] So this is almost a whole so they got seven eighths for that one.
(73) [T] Okay.
(73) [T] And then our last one.",0,0
"(394) [T] Or, things like that.
(395) [T] Three times as long.
(395) [T] Social Studies class is three times as long as math.
(396) [S] It is?
(397) [T] Because math class is fun, Tim.
(398) [S] Oh, no.
(399) [S] Oh, I get it.",I just like math.,400,"(401) [T] No, it's not really three times as long.
(401) [T] They're all the same, but- that was just an-
(402) [S] I thought fifth period was the longest?
(403) [S] Yeah.
(404) [T] Okay.
(404) [T] Well we have an extra 10 minutes because we read, but that's all.
(405) [T] Okay.",0,0
"(nan) [T] Or?
(nan) [S] three thirds?
(nan) [T] Three thirds.
(nan) [T] So write three thirds
(nan) [S] plus three thirds plus three thirds plus three thirds.
(nan) [S] And then plau three thirds and then a plus two thirds?
(nan) [T] Okay, so what is another name for that?",four and 2/3rds.,,"(nan) [T] Excellent.
(nan) [T] You got it, buddy.
(nan) [T] Good job.
(nan) [T] Keep going.
(nan) [S] Okay.
(nan) [T] All right.
(nan) [T] You got it?",0,0
"(294) [T] No, no you're sharing.
(294) [T] You are sharing.
(295) [S] Yes, there's literally two right here
(296) [T] I love that about you Isaac.
(297) [S] What?
(298) [T] I said I love that about my Isaac.
(298) [T] Enthusiastic energy.",Where's the A?,299,"(299) [S] A...
(299) [S] It should be A, B, C, D, E, F, G. You have A, you have B, H, S, D, E, C, A, G
(300) [T] Yes.
(300) [T] And if you want to draw the pictures...
(300) [T] Okay friends, you should be done cutting these up and working.
(300) [T] Lets go.
(301) [T] You're not supposed to.",0,1
"(45) [S] Right.
(46) [T] Right side of the 1.
(46) [T] So he went to the decimal because he knew he was rounding it to the tenth.
(46) [T] And Julia, what did you do for the third one?
(47) [S] 3.2
(48) [T] All right, and why did you get 3.2?
(48) [T] How did you get that?","Because it said round to the nearest tenth, and I looked to the right of the tenth, and it  more, so we can",49.0,"(50) [T] Excellent.
(50) [T] Agree?
(51) [S] Yes.
(52) [T] All right.
(52) [T] Everybody be seated.
(52) [T] We're not going to do any more.
(52) [T] Okay.",1,0
"(279) [T] Could we do six times one?
(280) [S] Yes.
(281) [T] What is six times one?
(282) [S] Six.
(283) [T] Can we do it again?
(284) [S] Yes.
(285) [T] Are we done?",Yes.,286,"(287) [T] Add up our outside.
(288) [T] Ta-da.
(288) [T] What I want you guys to take away from today's lesson is this.
(288) [T] Which one of these is better?
(288) [T] Which one of these two is better?
(289) [S] Both.
(290) [T] The answer is whichever one is easier for you.",0,0
"(423) [T] Okay?
(423) [T] I don't- That's why I do it that way.
(423) [T] Andrea?
(424) [S] Do you have to put it down there?
(425) [T] You don't have to but I think it's- it makes it clearer to see.
(425) [T] Okay?
(425) [T] Tim?",Would it make a difference if we put it around N plus or not?,426,"(427) [T] Well, in this case, we have two operation signs technically, so that's why we- I did it here.
(427) [T] Marcus?
(428) [S] What if you switched it around (inaudible) negative three before?
(429) [T] Before N?
(430) [S] Yeah.
(431) [T] That would work okay.
(431) [T] But it's- but- It's backwards here from what the words are.",0,1
"(94) [S] Yeah.
(95) [S] This is one-
(96) [S] Like two blues, one red.
(96) [S] Two across, one down  or this is two reds, one  blue, two down, one  across.
(96) [S] And that's how we would get the  Pascal's triangle.
(97) [S] But there's like- you know, there's got to be a  way that we could just say, all right this one's  three.
(97) [S] So five down this has to be this because  of some kind of-","I know, I'm just saying-",98,"(99) [S] So if it were-
(100) [S] Pattern- I mean like, you know, reasoning.
(100) [S] You  can't just say I counted them.
(101) [S] I know.
(101) [S] I'm just saying so like- and then that  could relate back to this but that is this, so it's  relateable- and for-
(102) [S] So what- what are you looking for right now?
(103) [S] Yeah like-",0,1
"(177) [T] I'm sorry,
(178) [S] the twelfths, then
(179) [S]  Yeah, saw that group B had three?
(180) [S] Yes.
(181) [S] made
(182) [S] took four-twelfths
(183) [S] 10 times the","Okay, I think that",184,"(185) [S] Yeah.
(186) [S] Yeah.
(187) [S] Okay, cool.
(187) [S] So
(188) [T] , it's going to get solved, but
(189) [T] , because the future one
(190) [S] No, no,  the number model",0,0
"(241) [T] That is a complete sentence right?
(241) [T] So I just gave you a very huge hint to what is wrong with Ms. Annabelle's number sentence!
(242) [S] Ohhh
(243) [T] Pick somebody to help ya.Oh you already know?She figured it out on her own, okay!
(243) [T] So now that Ms. Annabelle has this number sentence up there for us, Annabelle can you solve that?
(243) [T] I betcha you can.
(243) [T] What is six times five Ms. Annabelle?Count up by fives six times.",30,244,"(245) [T] Write it down.
(245) [T] And what's missing?
(246) [S] Another zero.
(247) [T] Not another zero, two more zeros, because that first zero is part of your original answer.
(247) [T] Tadaaa!
(247) [T] How many of you think she got it right, thumbs up.
(247) [T] Thumbs down if you think she got it wrong.",0,0
"(155) [T] Yes?
(156) [S] Yes.
(157) [T] You have to fill in something at this spot.
(158) [S] Yes.
(159) [T] That is what it is about.
(160) [S] (inaudible) make over again.
(161) [T] Which one?","Do I have to make some calculations- or, uh, resolve this I mean?",162,"(162) [S] Or do I just have to (inaudible).
(163) [T] How much are six A's plus five A's?
(164) [S] Eleven A's.
(164) [S] (inaudible)
(165) [T] And two B plus three C, can you add anything up here?
(166) [S] No, it just remains as it is.
(167) [T] Exactly.",0,0
"(51) [T] Mr. McCourt bought a case, which is 24 boxes of fruit juice.
(51) [T] 1/3 of the drinks are grape and 2/3 were cranberry.
(51) [T] How many boxes of each flavor did Mr. McCourt buy?
(51) [T] Draw a picture to show your thinking.
(51) [T] Feel free to talk to classmates at your table, spot partners, as you're drawing your picture.
(51) [S] I already  figured it out.
(52) [T] Tell me how you figured it out already.","Because 1/3 of 24 is 8, and then 2/3 is 16, because 3 x 8 is 24.",53,"(54) [T] Rafael, I see it looks like you're getting started with a picture.
(54) [T] Do you see what your classmates have done?
(54) [T] It looks like Eileen is using one kind of picture and Makayla is using another.
(54) [T] Can you chat with them about why they chose to use those pictures?
(55) [T] It's awfully quiet.
(55) [T] Feel free, if you're feeling really stuck, ask your neighbor, ""Why did you draw that picture?
(55) [T] Why did you use that number sentence?""",1,0
"(21) [S] He washed two.
(22) [S] Five minus three equals two.
(23) [S] The kangaroo jumps 6 times.
(23) [S] If the rabbit jumps 4 more  times, he will have jumped as many times as the kangaroo.
(23) [S] How many times did the rabbit…
(24) [S] Already.
(25) [S] Already jump?",Ten.,26,"(26) [S] Ten.
(27) [S] This six and four.
(28) [S] Six plus four is ten.
(29) [S] Let’s check.
(30) [S] One, two, three, four, five, six.
(31) [S] One, two, three, four, five, six.
(33) [S] One, two, three, four.",0,1
"(1125) [S] Four choose -
(1126) [S] The four choose zero then four choose one, four choose two
(1127) [S] Four choose one, four choose two.
(1128) [S] Four choose three.
(1129) [S] We’re in a bad place.
(1130) [T] Right.
(1131) [T] You probably want to use this.",Yeah.,1132.0,"(1133) [T] So that people can read it.
(1134) [S] Um.
(1135) [S] Ask them your question one more time.
(1136) [T] OK, so I’d like you to rewrite your triangle if you like.
(1137) [S] From top to bottom?
(1138) [T] Top to bottom.
(1139) [S] Do you want the ones and like.",0,0
"(nan) [S] Yeah, but you got two
(nan) [S] I mean-
(nan) [S] It's all messed up.
(nan) [S] You got here -  it could be two, if these are different or one if they're all the same.
(nan) [S]  It's like two 
(nan) [S] And then you've got to minus something out because you can't have -  
(nan) [S] you know what I mean? ",Yeah.,,"(nan) [S]  Exactly.
(nan) [S] It's, I think it's, uh
(nan) [S] How many do you have so far? 
(nan) [S] But you really don't have two right here because you have something like 
(nan) [S] Oh
(nan) [S] It's like you can have A or B, right?
(nan) [S] Mhmm",0,1
"(36) [T] Down.
(36) [T] So it's interesting... Our numbers are going up, but our sizes are actually going down.
(36) [T] So how many quart do you see?
(37) [S] Four.
(38) [S] Four.
(39) [S] Four.
(40) [T] Go ahead, say it.",Four.,41,"(42) [T] Four.
(42) [T] We got four quarts, right?
(42) [T] So in one gallon, there are-
(43) [S] One-
(44) [T] One gallon, there are-
(45) [S] Four quarts.
(46) [T] Four quarts, okay?",0,1
"(nan) [S] Alternate.
(nan) [S] Because the‐because it’s best of five. 
(nan) [S] Alternate rolling in the game. 
(nan) [S] Alternate every game, rolling. 
(nan) [S] Every game.
(nan) [S] In rolling?
(nan) [S] In w‐in rolling.","In rolling, for the whole game.",,"(nan) [S] Well, you can’t say that. 
(nan) [S] Alternate the‐OK, player A, player B… alternate‐ alternate what? 
(nan) [S] Alternate every game in rolling. 
(nan) [S] Just put it in rolling. 
(nan) [S] In rolling the dice. 
(nan) [S] Don’t get sloppy.
(nan) [S] What?",0,1
"(122) [T] Cause they're both positive so-
(123) [S] Two-third so, three, one-
(124) [S] Oh.
(125) [T] Okay.
(126) [S] One one, and then three, eight, 11.
(127) [T] No, wait a minute.
(127) [T] Wait a minute.",Two.,128,"(128) [S] One is-
(129) [S] And five.
(130) [T] Two plus- wait a minute, no, you were ""times-ing"" it.
(131) [S] Oh.
(132) [S] It's two so-
(133) [S] It's 10.
(134) [S] Yeah.",0,1
"(118) [T] Yeah.
(118) [T] I'd say a half.
(118) [T] I'd say it's closest to a half.
(118) [T] So a whole minus half is about what?
(119) [S] A half.
(120) [T] we're taking around a half, close to a whole,  close to half.
(120) [T] We're going to end up with close",to a half?,121,"(122) [T] to a half.
(122) [T] Close to a half.
(122) [T] This one could be a little more closer to zero.
(122) [T] This one we know is close to a half.
(122) [T] Now I want you to solve those two.
(122) [T] Now I want you to solve two, three, and four and I want you to solve.
(122) [T] Tatinana, you  alright?",0,1
"(nan) [S] No, just put to make the game fair. 
(nan) [S] And now it’s just based on the rolling of the dice. 
(nan) [S] Did you write it?
(nan) [S] No, you’re writin’ some‐in’. 
(nan) [S] Fruit flavor combinations. 
(nan) [S] In the bite‐size bag of skittles. 
(nan) [S] That’s probably gonna be our next problem, too. ","How many combinations, grape‐el‐ melon‐berry? ",,"(nan) [S] Can we show this?
(nan) [S] Yo. 
(nan) [S] Alright, instead of making it a roll again, how about the other person gets to roll?
(nan) [S] I think you got it from them.
(nan) [S] No, he got it from me.
(nan) [S] Down there.
(nan) [S] Well, we could either do that,  we could just leave it at roll again. ",0,1
"(nan) [T] How long does it take?
(nan) [S] Ah‐
(nan) [T] Three minutes, five minutes?
(nan) [S] Five minutes.
(nan) [S] Five minutes.
(nan) [T] Five minutes, we’ll come together.
(nan) [S] OK.","Jeff, Rom‐",,"(nan) [T] What are you saying‐
(nan) [S] Shelly…
(nan) [S] It doesn’t, you guys can…
(nan) [T] Shelly, what were you saying makes a difference?
(nan) [S] For what?
(nan) [T] What makes a difference? 
(nan) [T] You said it didn’t. ",0,0
"(198) [T] There you go.
(199) [T] Hi.
(200) [T] Hi.
(201) [T] Hardy wants to  because after class, we'll be at Elm's Haven.
(202) [T] I thought they did too, but apparently, they're not leaving until 9:30.
(202) [T] Am I right?
(203) [S] Yes.",I don't know.,204,"(205) [T] So 9:30.
(206) [T] You're right.
(206) [T] Hi, sweetheart.
(207) [T] So tell her nine o'clock is great.
(208) [T] 2,2, 10,1.
(208) [T] Nice job, Stella, now you may graph that one.
(209) [S] Can we also connect to that?",0,0
"(40) [T] Go ahead, say it.
(41) [S] Four.
(42) [T] Four.
(42) [T] We got four quarts, right?
(42) [T] So in one gallon, there are-
(43) [S] One-
(44) [T] One gallon, there are-",Four quarts.,45,"(46) [T] Four quarts, okay?
(46) [T] What about pints?
(46) [T] What does anybody notice about pints.
(46) [T] Ricky, what about you?
(47) [S] Eight?
(48) [T] Eight pints?
(48) [T] Okay.",0,0
"(181) [S] So did I.
(182) [S] Let's get some paper to write this down on.
(183) [S] I like your sweatshirt.
(184) [S] [Jackie and Jessica are talking] Guys, this is math, you're  on camera.
(184) [S] You're on camera and you're like oh nice  sweatshirt.
(185) [S] You can do that out at the playground
(186) [S] Guys are you on the first one?",...,187,"(187) [S] Seven times three, and you get the twenty-one.
(187) [S] You add  the sixty and the twenty-one and you get the eighty-one.
(187) [S] Now you get it?
(187) [S] [Figure S-17-00]
(188) [S] Neither do I.
(189) [S] Got it.
(190) [S] What I'm doing is, you have your twenty-seven, so you take  off the seven, and you get and you only have twenty.",1,1
